agent,best_objective_fx,best_penalties,best_penalized,friend_imports,friend_improvements
genetic,16377.363971033305,21816.57793746423,38193.94190849754,0.0,0.0
annealing,21792.97116866365,11209.762139506463,33002.733308170114,4.0,0.0
tabu,16221.222263624637,11881.945549052125,28103.167812676762,2.0,2.0
global_best,16221.222263624637,11881.945549052125,28103.167812676762,,
