agent,best_objective_fx,best_penalties,best_penalized,enemy_imports,enemy_improvements
genetic,36375.16075721022,667.0973564095822,37042.258113619806,0.0,0.0
annealing,30641.161110032437,500.0,31141.161110032437,0.0,0.0
tabu,35989.06832885075,0.0,35989.06832885075,2.0,2.0
global_best,30641.161110032437,500.0,31141.161110032437,,
