agent,best_objective_fx,best_penalties,best_penalized,enemy_observations,enemy_improvements
genetic,31312.009731009908,587.5366186759355,31899.546349685843,0.0,0.0
annealing,15817.723411064373,10587.739763014077,26405.46317407845,0.0,0.0
tabu,15780.69593248034,5496.288044609255,21276.983977089592,1.0,0.0
global_best,15780.69593248034,5496.288044609255,21276.983977089592,,
