agent,best_objective_fx,best_penalties,best_penalized,friend_imports,friend_improvements
genetic,5250.79466548114,0.0,5250.79466548114,0.0,0.0
annealing,3154.695043432594,602.5155461642918,3757.2105895968857,4.0,1.0
tabu,2357.3820353054234,488.97715122925956,2846.359186534683,0.0,0.0
global_best,2357.3820353054234,488.97715122925956,2846.359186534683,,
