agent,best_objective_fx,best_penalties,best_penalized,friend_imports,friend_improvements
genetic,4681.798000488567,145.53627840555015,4827.334278894117,0.0,0.0
annealing,3722.93149593732,0.0,3722.93149593732,0.0,0.0
tabu,3717.5997690294644,0.0,3717.5997690294644,2.0,1.0
global_best,3717.5997690294644,0.0,3717.5997690294644,,
