agent,best_objective_fx,best_penalties,best_penalized,friend_imports,friend_improvements
genetic,6393.331383161822,1076.4390552815157,7469.770438443337,0.0,0.0
annealing,4425.347952191537,0.0,4425.347952191537,0.0,0.0
tabu,4430.675840601179,0.0,4430.675840601179,2.0,1.0
global_best,4425.347952191537,0.0,4425.347952191537,,
