agent,best_objective_fx,best_penalties,best_penalized,friend_imports,friend_improvements
genetic,36181.79800048857,145.53627840555015,36327.334278894115,0.0,0.0
annealing,30722.93149593732,0.0,30722.93149593732,0.0,0.0
tabu,30717.599769029464,0.0,30717.599769029464,2.0,1.0
global_best,30717.599769029464,0.0,30717.599769029464,,
