agent,best_objective_fx,best_penalties,best_penalized,friend_imports,friend_improvements
genetic,4618.63831106663,252.4993788025342,4871.137689869164,0.0,0.0
annealing,2591.849469440943,0.0,2591.849469440943,1.0,0.0
tabu,2592.2637188180984,0.0,2592.2637188180984,2.0,1.0
global_best,2591.849469440943,0.0,2591.849469440943,,
