agent,best_objective_fx,best_penalties,best_penalized,friend_imports,friend_improvements
genetic,4581.186551760218,923.5986896143888,5504.785241374607,0.0,0.0
annealing,3362.898313024115,500.0,3862.898313024115,1.0,0.0
tabu,3366.0668479226715,500.1877159309021,3866.2545638535735,2.0,1.0
global_best,3362.898313024115,500.0,3862.898313024115,,
