agent,best_objective_fx,best_penalties,best_penalized,enemy_imports,enemy_improvements
genetic,4000.6530718431222,1583.7354060031719,5584.388477846294,0.0,0.0
annealing,3280.639946800068,0.0,3280.639946800068,1.0,1.0
tabu,3877.454942784238,0.0,3877.454942784238,2.0,1.0
global_best,3280.639946800068,0.0,3280.639946800068,,
