agent,best_objective_fx,best_penalties,best_penalized,enemy_imports,enemy_improvements
genetic,42393.33138316182,1076.4390552815157,43469.77043844334,0.0,0.0
annealing,35925.347952191536,0.0,35925.347952191536,0.0,0.0
tabu,41437.84870960767,0.0,41437.84870960767,3.0,1.0
global_best,35925.347952191536,0.0,35925.347952191536,,
