agent,best_objective_fx,best_penalties,best_penalized,enemy_imports,enemy_improvements
genetic,36556.1201651775,512.8242580645161,37068.944423242014,0.0,0.0
annealing,30557.263095281072,0.0,30557.263095281072,0.0,0.0
tabu,40692.67594641956,0.0,40692.67594641956,2.0,1.0
global_best,30557.263095281072,0.0,30557.263095281072,,
