agent,best_objective_fx,best_penalties,best_penalized,friend_imports,friend_improvements
genetic,10644.31893825983,14674.800031270403,25319.11896953023,0.0,0.0
annealing,15638.822110963862,5202.722456937075,20841.544567900935,2.0,0.0
tabu,15636.454848680027,5104.400833812944,20740.85568249297,6.0,1.0
global_best,15636.454848680027,5104.400833812944,20740.85568249297,,
