agent,best_objective_fx,best_penalties,best_penalized,enemy_observations,enemy_improvements
genetic,21417.432658004338,6901.9644239581085,28319.397081962445,0.0,0.0
annealing,15907.538408726174,8626.121829249862,24533.660237976037,2.0,0.0
tabu,15644.901972221485,7378.158277822222,23023.06025004371,1.0,0.0
global_best,15644.901972221485,7378.158277822222,23023.06025004371,,
