agent,best_objective_fx,best_penalties,best_penalized,friend_imports,friend_improvements
genetic,4875.160757210225,667.0973564095822,5542.258113619807,0.0,0.0
annealing,3641.161110032437,500.0,4141.161110032437,0.0,0.0
tabu,3690.3534488391633,500.0,4190.353448839163,2.0,1.0
global_best,3641.161110032437,500.0,4141.161110032437,,
