agent,best_objective_fx,best_penalties,best_penalized,friend_imports,friend_improvements
genetic,11002.057641107602,11015.765390061306,22017.823031168908,0.0,0.0
annealing,16174.324300695165,4887.754180568769,21062.078481263932,3.0,0.0
tabu,10643.116125404427,6832.757153119228,17475.873278523657,0.0,0.0
global_best,10643.116125404427,6832.757153119228,17475.873278523657,,
