agent,best_objective_fx,best_penalties,best_penalized,enemy_imports,enemy_improvements
genetic,31665.073635186633,1205.4824204687511,32870.55605565538,0.0,0.0
annealing,25972.390271139197,0.09529660709672624,25972.485567746295,1.0,1.0
tabu,30970.56862279085,0.0,30970.56862279085,2.0,0.0
global_best,25972.390271139197,0.09529660709672624,25972.485567746295,,
