agent,best_objective_fx,best_penalties,best_penalized,enemy_imports,enemy_improvements
genetic,10657.282810712706,29962.68133636023,40619.96414707294,0.0,0.0
annealing,25760.612773385245,0.0,25760.612773385245,0.0,0.0
tabu,30877.476029502606,0.0,30877.476029502606,2.0,0.0
global_best,25760.612773385245,0.0,25760.612773385245,,
