agent,best_objective_fx,best_penalties,best_penalized,friend_imports,friend_improvements
genetic,21860.285174031837,13612.191730104409,35472.476904136245,0.0,0.0
annealing,15985.61150522151,9851.056358353453,25836.667863574963,1.0,1.0
tabu,16052.75662624936,11425.25549688533,27478.01212313469,2.0,2.0
global_best,15985.61150522151,9851.056358353453,25836.667863574963,,
