agent,best_objective_fx,best_penalties,best_penalized,enemy_imports,enemy_improvements
genetic,36181.79800048857,145.53627840555015,36327.334278894115,0.0,0.0
annealing,30722.93149593732,0.0,30722.93149593732,0.0,0.0
tabu,35866.19075125972,0.0,35866.19075125972,2.0,0.0
global_best,30722.93149593732,0.0,30722.93149593732,,
