agent,best_objective_fx,best_penalties,best_penalized,enemy_observations,enemy_improvements
genetic,16321.195404916265,4446.188677174538,20767.3840820908,0.0,0.0
annealing,10925.595108832425,9442.883679116952,20368.478787949378,4.0,0.0
tabu,10884.801834727567,6748.092838462455,17632.89467319002,3.0,0.0
global_best,10884.801834727567,6748.092838462455,17632.89467319002,,
