cycle,state,action,q_value
5,1,intra_route_shift,-316.27259339804175
5,1,inter_route_shift,-306.41511083741113
5,1,two_intra_route_swap,-310.47123051106865
5,1,two_intra_route_shift,-282.1616178257026
5,1,eliminate_smallest_route,-261.69063709690613
5,1,eliminate_random_route,-397.25403590787846
5,2,intra_route_swap,-507.7923454299471
5,2,inter_route_swap,-797.9562745737186
5,2,intra_route_shift,-386.91992793311044
5,2,inter_route_shift,-563.8741878515098
5,2,two_intra_route_swap,-499.8209346126033
5,2,two_intra_route_shift,-729.3663587729801
5,2,eliminate_smallest_route,-391.61663010254784
5,2,eliminate_random_route,-739.8156328793641
5,3,intra_route_swap,-2458.1563502504855
5,3,inter_route_swap,-2616.212515962661
5,3,intra_route_shift,-2362.0715211001266
5,3,inter_route_shift,-2295.0754670595556
5,3,two_intra_route_swap,-2058.0872375212166
5,3,two_intra_route_shift,-2114.4541823392
5,3,eliminate_smallest_route,-1200.2139672403555
5,3,eliminate_random_route,-2298.302813837545
5,4,intra_route_swap,-2397.4614580848806
5,4,inter_route_swap,-2848.535625421227
5,4,intra_route_shift,-2263.257079632356
5,4,inter_route_shift,-2246.879394983439
5,4,two_intra_route_swap,-2238.1263808553144
5,4,two_intra_route_shift,-2239.086407739881
5,4,eliminate_smallest_route,-2232.9826632752406
5,4,eliminate_random_route,-2231.505646235794
6,1,intra_route_swap,-817.7648296090374
6,1,inter_route_swap,-1230.0578294669385
6,1,intra_route_shift,-316.27259339804175
6,1,inter_route_shift,-503.76622393859105
6,1,two_intra_route_swap,-455.22744522294374
6,1,two_intra_route_shift,-440.21558652330765
6,1,eliminate_smallest_route,-435.31618269824764
6,1,eliminate_random_route,-397.25403590787846
6,2,intra_route_swap,-507.7923454299471
6,2,inter_route_swap,-797.9562745737186
6,2,intra_route_shift,-537.0954259990999
6,2,inter_route_shift,-563.8741878515098
6,2,two_intra_route_swap,-1063.9754219681329
6,2,two_intra_route_shift,-729.3663587729801
6,2,eliminate_smallest_route,-594.0722883314536
6,2,eliminate_random_route,-739.8156328793641
6,3,intra_route_swap,-3813.475256731675
6,3,inter_route_swap,-2736.2860690591892
