agent,best_objective_fx,best_penalties,best_penalized,friend_imports,friend_improvements
genetic,4000.653071843123,1583.7354060031762,5584.3884778463,0.0,0.0
annealing,3247.2683260056265,0.0,3247.2683260056265,1.0,0.0
tabu,3214.271826872509,0.0,3214.271826872509,2.0,1.0
q_learning,2717.094353841083,47.73902079742848,2764.8333746385115,5.0,4.0
global_best,2717.094353841083,47.73902079742848,2764.8333746385115,,
