state,intra_route_swap,inter_route_swap,intra_route_shift,inter_route_shift,two_intra_route_swap,two_intra_route_shift,eliminate_smallest_route,eliminate_random_route
S1_big_improvement,-907.6487869736028,-1287.0734407556317,-657.2130819421459,-731.141651922672,-786.6025982125302,-769.5483637534489,-924.1500099544877,-1073.5865620111208
S2_small_improvement,-1029.1780647503645,-1231.4438430463674,-1070.6832740639124,-1080.3973393638316,-1087.726841932708,-1072.514448226444,-1383.9384514798185,-1172.1312342678848
S3_no_improvement,-2527.2615947491913,-3614.3187337488916,-2395.372649609624,-2719.784860768623,-2946.744096844116,-1860.5773741969936,-3141.1274635765303,-2983.7745170920844
S4_stagnation,-2612.3076599178103,-3096.6151232638213,-1343.3056722232232,-2556.1245193297964,-2631.7967825288083,-2731.731301048328,-2974.1349524445545,-3168.820048235283
