agent,best_objective_fx,best_penalties,best_penalized,friend_imports,friend_improvements
genetic,4695.95237800172,208.79946803519073,4904.75184603691,0.0,0.0
annealing,3557.2630952810723,0.0,3557.2630952810723,0.0,0.0
tabu,3616.856924454203,0.0,3616.856924454203,2.0,1.0
global_best,3557.2630952810723,0.0,3557.2630952810723,,
