agent,best_objective_fx,best_penalties,best_penalized,enemy_observations,enemy_improvements
genetic,36827.29310189404,2765.3295362549443,39592.62263814899,0.0,0.0
annealing,21537.662964354404,12952.368021659879,34490.03098601428,2.0,0.0
tabu,21319.224357027244,6166.562402283364,27485.786759310606,5.0,0.0
global_best,21319.224357027244,6166.562402283364,27485.786759310606,,
