agent,best_objective_fx,best_penalties,best_penalized,enemy_imports,enemy_improvements
genetic,36367.3948222062,2831.555863903337,39198.95068610954,0.0,0.0
annealing,35918.10045624893,0.0,35918.10045624893,1.0,1.0
tabu,36505.24124369154,112.67996673547721,36617.92121042702,1.0,0.0
global_best,35918.10045624893,0.0,35918.10045624893,,
