agent,best_objective_fx,best_penalties,best_penalized,enemy_observations,enemy_improvements
genetic,21315.18641382351,5801.594618332449,27116.78103215596,0.0,0.0
annealing,15765.939160505684,6917.1448662883595,22683.084026794044,5.0,0.0
tabu,15711.628670540711,5556.892297914022,21268.520968454734,2.0,0.0
global_best,15711.628670540711,5556.892297914022,21268.520968454734,,
