agent,best_objective_fx,best_penalties,best_penalized,enemy_imports,enemy_improvements
genetic,36233.23522644859,17.43706913794401,36250.67229558653,0.0,0.0
annealing,20600.680280548462,0.0,20600.680280548462,1.0,1.0
tabu,35747.057115819174,0.0,35747.057115819174,2.0,1.0
global_best,20600.680280548462,0.0,20600.680280548462,,
