agent,best_objective_fx,best_penalties,best_penalized,friend_imports,friend_improvements
genetic,16294.361671940496,15986.063932283772,32280.42560422427,0.0,0.0
annealing,15736.63691160522,10867.96191885135,26604.59883045657,2.0,0.0
tabu,20794.35668506402,2268.2166304203856,23062.573315484406,2.0,2.0
global_best,20794.35668506402,2268.2166304203856,23062.573315484406,,
