agent,best_objective_fx,best_penalties,best_penalized,friend_imports,friend_improvements
genetic,10657.282810712706,29962.68133636023,40619.96414707294,0.0,0.0
annealing,25760.612773385245,0.0,25760.612773385245,0.0,0.0
tabu,25762.169637373583,0.0,25762.169637373583,2.0,1.0
global_best,25760.612773385245,0.0,25760.612773385245,,
