agent,best_objective_fx,best_penalties,best_penalized,friend_imports,friend_improvements
genetic,5604.413138226591,36.88720330479956,5641.300341531391,0.0,0.0
annealing,3128.40449943994,0.0,3128.40449943994,0.0,0.0
tabu,3128.361420025376,0.0,3128.361420025376,3.0,1.0
global_best,3128.361420025376,0.0,3128.361420025376,,
