agent,best_objective_fx,best_penalties,best_penalized,enemy_imports,enemy_improvements
genetic,41604.41313822659,36.88720330479956,41641.300341531394,0.0,0.0
annealing,25628.40449943994,0.0,25628.40449943994,0.0,0.0
tabu,30611.916608151172,0.0,30611.916608151172,2.0,0.0
global_best,25628.40449943994,0.0,25628.40449943994,,
