agent,best_objective_fx,best_penalties,best_penalized,enemy_observations,enemy_improvements
genetic,5250.79466548114,0.0,5250.79466548114,0.0,0.0
annealing,2537.8186796066298,2235.4045120816268,4773.2231916882565,3.0,0.0
tabu,2357.3820353054234,488.97715122925956,2846.359186534683,0.0,0.0
global_best,2357.3820353054234,488.97715122925956,2846.359186534683,,
