agent,best_objective_fx,best_penalties,best_penalized,friend_imports,friend_improvements
genetic,21417.432658004338,6901.9644239581085,28319.397081962445,0.0,0.0
annealing,16043.99769406304,8426.448341891944,24470.446035954985,2.0,0.0
tabu,15775.410569744003,5362.963489496357,21138.37405924036,4.0,4.0
global_best,15775.410569744003,5362.963489496357,21138.37405924036,,
