agent,best_objective_fx,best_penalties,best_penalized,enemy_imports,enemy_improvements
genetic,41551.48898315202,680.414553536709,42231.903536688726,0.0,0.0
annealing,30655.500137357583,0.0,30655.500137357583,0.0,0.0
tabu,35720.35721540829,0.0,35720.35721540829,5.0,2.0
global_best,30655.500137357583,0.0,30655.500137357583,,
